VertexCount,IndicesCount,TriangleCount,TotalTime,AverageTime
76,240,80,1235,42
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,2
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,1
76,240,80,1235,2
76,240,80,1235,2
76,240,80,1235,1
76,240,80,1235,1
