VertexCount,IndicesCount,TriangleCount,TotalTime,IndividualTime
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,60
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,60
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,59
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,96
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,59
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,60
603,2316,772,57711,57
603,2316,772,57711,61
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,57
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,58
603,2316,772,57711,59
